Name,Address,PhoneNumber,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
바링고빈스,부산광역시 기장군 정관읍 정관덕산길 31,,35.3228694113866,129.183144355341,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
바리스타들의놀이터,부산광역시 사하구 윤공단로56번길 51,051 263 5726,35.0586851509572,128.969994750587,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,
투썸플레이스부산대정문점,부산광역시 금정구 금강로 260-2,,35.231314059577,129.085248017499,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40
보나단헤어엔카페,부산광역시 금정구 금강로 361,,35.2402959450991,129.086227115795,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 21:00,10:30 ~ 21:00,
노스커피온천장역점,부산광역시 금정구 오시게로 22-1 (부곡동),070 88667460,35.2195745390392,129.086590927284,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,09:00 ~ 19:00,09:00 ~ 19:00
힐링펫,부산광역시 기장군 장안읍 고무로 4,051 727 8256,35.3480134320464,129.257109484443,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
둥지,부산광역시 남구 문현금융로 1-1 (문현동,051 6355678,35.1429236461342,129.064846368421,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
부산커피(Busan coffee),부산광역시 금정구 장전온천천로 93,051 5837171,35.2332830669602,129.089051033235,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,10:00 ~ 18:00,10:00 ~ 18:00
투썸플레이스 장림점,부산광역시 사하구 장림로 222 (장림동),051 262 5061,35.0821841327866,128.973353121907,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00
더벤티 정관점,부산광역시 기장군 정관읍 정관7로 3,051 728 0201,35.3223947457244,129.175946815029,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
빽다방부산정관동오점,부산광역시 기장군 정관읍 정관7로 17-3 (동오A타워105호),051 727 8033,35.3219599482759,129.17696802348,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00
